X,Y,Z,Roll,Pitch,Yaw
5.802679245283019,-3.54,0.0,0.0,0.0,0.0
5.817160377358491,-3.54,0.0,0.0,0.0,0.0
5.831641509433963,-3.54,0.0,0.0,0.0,0.0
5.846122641509434,-3.54,0.0,0.0,0.0,0.0
5.860603773584906,-3.54,0.0,0.0,0.0,0.0
5.875084905660378,-3.54,0.0,0.0,0.0,0.0
5.889566037735849,-3.54,0.0,0.0,0.0,0.0
5.904047169811321,-3.54,0.0,0.0,0.0,0.0
5.918528301886793,-3.54,0.0,0.0,0.0,0.0
5.933009433962264,-3.54,0.0,0.0,0.0,0.0
5.947490566037736,-3.54,0.0,0.0,0.0,0.0
5.961971698113208,-3.54,0.0,0.0,0.0,0.0
5.97645283018868,-3.54,0.0,0.0,0.0,0.0
5.990933962264151,-3.54,0.0,0.0,0.0,0.0
6.005415094339623,-3.54,0.0,0.0,0.0,0.0
6.019896226415094,-3.54,0.0,0.0,0.0,0.0
6.034377358490566,-3.54,0.0,0.0,0.0,0.0
6.0488584905660385,-3.54,0.0,0.0,0.0,0.0
6.06333962264151,-3.54,0.0,0.0,0.0,0.0
6.077820754716981,-3.54,0.0,0.0,0.0,0.0
6.092301886792454,-3.54,0.0,0.0,0.0,0.0
6.106783018867924,-3.54,0.0,0.0,0.0,0.0
6.1212641509433965,-3.54,0.0,0.0,0.0,0.0
6.135745283018868,-3.54,0.0,0.0,0.0,0.0
6.150226415094339,-3.54,0.0,0.0,0.0,0.0
6.164707547169812,-3.54,0.0,0.0,0.0,0.0
6.179188679245284,-3.54,0.0,0.0,0.0,0.0
6.1936698113207544,-3.54,0.0,0.0,0.0,0.0
6.208150943396227,-3.54,0.0,0.0,0.0,0.0
6.222632075471698,-3.54,0.0,0.0,0.0,0.0
6.23711320754717,-3.54,0.0,0.0,0.0,0.0
6.251594339622642,-3.54,0.0,0.0,0.0,0.0
6.266075471698113,-3.54,0.0,0.0,0.0,0.0
6.280556603773585,-3.54,0.0,0.0,0.0,0.0
6.295037735849057,-3.54,0.0,0.0,0.0,0.0
6.309518867924528,-3.54,0.0,0.0,0.0,0.0
6.324,-3.54,0.0,0.0,0.0,0.0
6.338481132075472,-3.54,0.0,0.0,0.0,0.0
